"","CD31m_1","CD31m_2","CD31m_3","CD31m_4","Ost_c_1","Ost_c_2","Ost_c_3","Ost_c_4","Ost_ins_1","Ost_ins_2","Ost_ins_3","Ost_ins_4"
"Q32P44",14.66158,14.65277,14.22248,14.3777,14.28417,14.70392,14.43786,14.63197,14.37283,14.64305,14.40752,14.49506
"Q3LXA3",15.70354,16.11773,15.64074,15.65455,16.02691,16.14871,15.70546,16.07154,16.08006,16.03258,15.71366,15.85141
"Q4V328",14.49163,14.39315,14.58221,14.28899,14.41863,14.44298,14.16746,14.00484,14.23512,14.10393,14.18191,13.87841
"Q5T5C0",13.96509,13.95447,13.0917280039279,14.65029,13.65788,14.48721,14.08445,14.78483,14.48602,14.63819,14.18158,14.66667
"Q5T6F2",15.24213,15.03559,15.82615,14.7919773141399,15.03903,14.5577,15.03033,14.46117,15.08709,14.57325,14.94592,14.91562
"Q5VT25",13.80735,13.00567,13.20386,13.77269,13.01705,13.58441,13.54933,13.58707,13.63654,13.81842,13.16827,13.37942
"Q6PJT7",14.02724,13.91756,14.49636,13.910617950294,14.15147,13.87426,13.62503,13.7293410709271,13.93593,13.8896,13.92684,13.80443
"Q7Z4H8",16.17095,16.60717,16.07083,15.4981,16.46659,16.52272,15.84772,16.33232,16.51281,16.8365,15.63761,16.74341
"Q86X55",15.38191,15.29124,14.49509,15.57078,15.09431,15.46461,15.566,15.55754,15.48109,15.74921,15.34031,15.64928
"Q8IY81",14.86132,14.65579,14.42406,15.1015,14.52055,14.95174,14.86147,14.81687,15.06683,15.36213,14.85231,14.9647
"Q8NCN5",14.05875,14.25358,13.54382,14.17282,13.96518,14.43172,14.40347,14.56092,14.245,14.26426,14.3471,14.36736
"Q8TC12",15.23665,14.79129,14.55687,15.53699,14.79675,15.09481,15.56311,15.53418,15.37636,15.50033,15.40483,15.36884
"Q8WXX5",15.97322,16.2073,16.65595,15.49477,15.12072,15.53523,15.20887,14.89418,15.31362,15.60012,15.50584,14.86093
"Q8WYA6",13.9978875603875,14.03079,13.85505,14.33011,13.58052,13.84337,13.6032,13.60151,13.66382,14.05401,13.69469,13.61968
"Q92520",16.52912,16.65283,16.15033,16.81027,16.87681,16.71352,16.99681,17.26755,17.07766,17.25825,17.09945,17.40824
"Q92917",15.97589,16.24555,16.53878,15.56253,15.79536,15.78249,15.17892,15.09149,15.67298,15.44305,15.63846,15.33814
"Q96A49",15.89244,15.73953,16.19941,15.87024,16.03855,15.45605,15.72041,15.92802,16.04324,15.56395,15.88478,16.17526
"Q96A65",14.47852,14.80754,14.01196,15.34605,14.47684,15.27896,15.50612,15.83306,15.02695,15.5053,15.15715,15.55673
"Q96AQ6",14.94161,14.73168,15.03401,14.82265,15.25363,14.952,14.96574,15.08361,14.82204,14.43761,14.76844,14.77019
"Q96CS3",15.84488,15.95936,15.07092,15.59618,15.74839,16.04536,16.16413,16.09463,16.07035,16.1612,15.7755,15.9975
"Q96EP5",16.81062,16.93423,17.18698,15.54129,16.60966,16.73998,16.4529,16.23609,16.51477,16.64385,16.23254,16.46799
"Q96JB5",14.83006,15.03663,14.4356,15.24281,15.01926,15.25093,15.08874,15.14448,15.03739,14.65109,15.2753,14.85501
"Q96KP1",16.46849,16.43141,16.39847,15.83111,16.45897,16.79142,16.84186,17.13274,16.56784,16.84806,15.94257,16.68498
"Q96PU8",15.89015,16.20197,16.7249,15.85546,15.5608,15.60657,15.351,15.08946,15.27825,15.1163,15.34844,14.6509
"Q96RT1",14.58876,15.29953,14.62672,14.27135,15.09022,15.38494,15.22921,15.54619,15.35119,15.93038,15.00094,15.90798
"Q99685",15.56792,16.08051,15.43802,15.34683,16.10674,16.31975,16.33733,17.27826,16.74511,16.67006,16.33997,17.89313
"Q99733",18.0184,18.25461,18.26452,17.48163,18.27289,18.1967,18.08423,17.88729,18.24603,18.00664,17.96709,18.15948
"Q9BRK5",15.99098,15.97788,16.19404,15.28186,15.73173,15.51505,15.49006,15.19693,15.59966,15.1361,15.68025,15.45137
"Q9BTU6",15.90863,15.69841,15.3456,16.16882,16.23292,16.05112,16.17596,16.47591,16.62029,16.25561,16.20759,16.4588
"Q9BUP0",16.86577,16.96535,17.23715,16.17703,16.25088,16.29253,16.70565,15.14837,16.28283,15.93971,16.77731,16.09139
"Q9BYT8",15.194,15.3308,14.88842,15.29147,15.17095,15.45208,15.35526,15.59865,15.17047,15.30081,15.34693,15.43224
"Q9BZK7",17.10288,17.24862,16.91971,16.58938,17.28477,16.86721,16.62136,16.20934,16.99433,16.40609,16.82409,16.23202
"Q9H488",16.53457,16.8034,16.69034,16.42519,16.53574,16.51181,16.48723,16.33446,16.40461,16.0502,16.67667,16.33312
"Q9H7C4",15.31786,15.89975,14.98608,15.27673,16.04754,16.07988,15.62527,15.5416,15.70665,15.3954,15.77224,15.45721
"Q9H9A6",14.51932,14.63513,14.64766,14.54789,14.20956,14.45897,14.4914,14.6019,14.49838,14.46008,14.76918,14.69443
"Q9HAV7",16.47436,16.31549,16.89138,15.8793,16.18941,16.16588,15.76756,15.83464,16.05793,16.01779,15.85244,16.12113
"Q9NPQ8",15.47432,15.44739,14.62363,15.79853,15.33478,15.66348,15.68032,15.88299,15.60917,15.84613,15.67375,15.85135
"Q9NR31",16.86522,16.6974,16.20836,16.47388,16.75373,16.48405,17.35834,17.18476,17.19853,16.72002,17.41569,17.39349
"Q9NTX5",14.8185,14.99247,14.86452,15.09256,15.35376,14.8983,15.21737,15.38131,15.23657,14.62674,15.30372,15.04802
"Q9NX63",16.29492,16.36021,16.54957,16.01291,16.35598,16.12531,15.93336,15.91705,16.04122,15.58328,16.0361,15.94557
"Q9NZV1",14.8193,14.2943,15.14794,14.60221,14.61285,14.31866,14.42158,14.10654,14.6306,14.12586,15.14594,14.31214
"Q9UBQ7",15.93029,16.40866,16.34181,16.36815,16.46483,16.43527,16.37913,16.48848,16.51498,16.53284,16.14949,16.50015
"Q9UBV2",15.95402,15.74606,15.63631,15.89946,15.76789,15.84901,15.83449,15.74581,15.96532,16.00097,15.77559,15.57705
"Q9UEY8",15.29389,15.72878,15.06501,15.40554,15.69237,15.67491,16.27499,16.08984,15.87283,15.73745,16.24396,16.14274
"Q9UIA9",14.35096,14.24028,13.75138,15.05554,13.86595,14.60622,14.60309,14.80553,14.41363,14.85999,14.49177,14.61495
"Q9UJS0",14.98491,14.94163,14.50599,15.11203,14.64262,14.9063,15.4925,15.20412,15.10238,14.81134,15.50848,14.8461
"Q9ULT8",15.33466,15.05299,14.21273,15.67395,15.06796,15.49035,15.84031,15.82939,15.83227,16.16823,15.56247,15.96502
"Q9UN86",16.62626,16.27367,17.01583,16.06333,16.32217,15.98111,16.07958,15.72578,16.29164,15.75663,16.32064,16.16683
"Q9UNE7",16.24381,16.39706,16.39677,15.89597,16.24667,16.10131,15.92337,16.02615,16.27347,15.87777,16.09131,16.39737
"Q9Y2B0",17.47555,17.16744,17.6911,16.70679,17.37953,16.98626,17.01964,16.73828,17.08518,16.6448,16.79677,16.78318
"Q9Y2Q3",16.51163,16.52034,16.41324,15.91791,16.65778,16.49812,16.77659,16.90215,16.75044,16.45476,16.65002,16.7837
"Q9Y2T2",14.61226,14.63146,14.13876,15.51024,14.52925,14.8729,14.98395,15.22172,15.01123,15.08742,15.09118,14.92185
"Q9Y4K4",14.98356,14.91493,14.39806,15.33332,14.41776,15.18099,15.08816,15.0721,14.82312,15.39538,15.20516,15.1864
"Q9Y6U3",15.70681,15.3988,14.98506,15.71248,16.31705,15.37123,15.21343,15.69357,15.97192,14.93064,15.29837,15.11054
"Q9Y6Y8",15.53716,15.47579,15.14373,15.49715,15.37834,15.35889,15.44567,15.29537,15.40492,15.36854,15.31313,15.31791
"A0A140T9H5",15.60816,16.34108,15.31883,14.31753,16.09369,16.63374,16.01006,15.25546,15.78545,16.39972,15.96985,15.12062
"D6R9P3",18.03785,17.93332,18.60877,17.55453,17.48704,17.36042,17.31474,17.0555,17.46889,17.28106,17.58588,17.45
"E9PGT1",16.85607,16.86267,16.28813,16.93909,16.76998,17.25574,17.15827,17.35632,17.14552,17.23106,17.01218,17.21601
"E9PSI1",14.4578,14.69955,14.80953,14.58423,14.77165,14.66326,14.57408,14.28779,14.68249,14.52398,14.46405,14.55854
"P33778",18.18132,19.21903,19.65855,19.002,19.21776,18.85492,19.22075,19.32929,19.68965,20.20225,19.43612,19.46305
"P58876",17.02006,17.35939,18.23065,17.40586,17.65394,17.26598,17.83041,18.04442,18.13354,18.13201,17.9503,17.86922
